Frame,Skin Pixels Change
0,120841
1,2559
2,1048
3,1014
4,1503
5,506
6,-521
7,1965
8,2059
9,1847
10,2414
11,2294
12,1540
13,1329
14,1715
15,1625
16,2451
17,-296
18,-305
19,3132
20,-387
21,2469
22,2021
23,8
24,1202
25,-60
26,1797
27,220
28,1274
29,2425
30,-1830
31,4843
32,128
33,1837
34,555
35,772
36,1550
37,-1299
38,539
39,1614
40,-441
41,-1222
42,842
43,-2638
44,385
45,1003
46,-509
47,3855
48,-732
49,1693
50,-1444
51,730
52,140
53,-502
54,357
55,218
56,1666
57,-1535
58,330
59,175
60,-4483
61,1953
62,433
63,17
64,1085
65,-1041
66,-1078
67,-1743
68,-400
69,331
70,-107
71,-835
72,283
73,213
74,946
75,429
76,-1088
77,253
78,355
79,-233
80,46
81,-1118
82,-354
83,-1301
84,103
85,-296
86,939
87,-1186
88,1002
89,-169
90,-2893
91,3818
92,237
93,-804
94,1437
95,-2207
96,2099
97,-1263
98,-421
99,916
100,731
101,-32
102,905
103,384
104,-748
105,1471
106,324
107,1815
108,1776
109,972
110,-1578
111,-92
112,1316
113,-1659
114,891
115,636
116,485
117,-686
118,747
119,-798
120,-5264
121,3311
122,2257
123,803
124,314
125,915
126,561
127,-284
128,-397
129,2494
130,-1069
131,518
132,-795
133,2248
134,-91
135,-339
136,-1201
137,457
138,-524
139,369
140,-43
141,1400
142,-698
143,-1311
144,1579
145,-1837
146,1466
147,-1173
148,653
149,-92
150,-6026
151,1804
152,603
153,174
154,-431
155,1606
156,-399
157,-228
158,991
159,1601
160,-98
161,1070
162,-1282
163,-560
164,-1346
165,409
166,1654
167,1635
168,-215
169,99
170,-1784
171,-314
172,-224
173,1014
174,279
175,-461
176,632
177,124
178,-115
179,-382
180,-5569
181,3885
182,3090
183,-503
184,-119
185,-560
186,736
187,370
188,-992
189,384
190,-201
191,2075
192,-2096
193,511
194,75
195,1444
196,276
197,-708
198,691
199,573
200,-1918
201,709
202,-1392
203,939
204,650
205,-742
206,913
207,-1057
208,899
209,431
210,-3577
211,2992
212,-1086
213,-1093
214,1183
215,224
216,-118
217,-9
218,-456
219,183
220,-334
221,-1315
222,648
223,1499
224,1644
225,-739
226,-665
227,-664
228,-28
229,-503
230,-520
231,1967
232,1101
233,-949
234,-689
235,-197
236,-1080
237,378
238,-496
239,1282
240,-3413
241,1569
242,494
243,818
244,-151
245,717
246,-727
247,-440
248,527
249,-1238
250,-543
251,736
252,420
253,-427
254,1209
255,-415
256,-854
257,-651
258,2008
259,-1436
260,1224
261,-934
262,1133
263,-719
264,1120
265,-2256
266,1564
267,-116
268,-72
269,745
270,-4625
271,2753
272,1899
273,-202
274,-388
275,586
276,183
277,41
278,-347
279,1007
280,476
281,-2253
282,858
283,194
284,578
285,869
286,-1521
287,122
288,-545
289,1797
290,-426
291,246
292,-3099
293,-971
294,1853
295,1274
296,-493
297,-1028
298,1609
299,204
300,-3781
301,2773
302,-1859
303,798
304,2111
305,51
306,-678
307,-121
308,1015
309,-213
310,-909
311,-1103
312,-425
313,1535
314,523
315,583
316,291
317,401
318,-244
319,742
320,-113
321,-1663
322,1407
323,-243
324,-879
325,156
326,967
327,-672
328,135
329,-960
330,-2187
331,801
332,1441
333,809
334,2147
335,-935
336,-648
337,-586
338,712
339,359
340,-1057
341,-283
342,-335
343,-977
344,-384
345,741
346,2543
347,-576
348,912
349,-1031
350,-336
351,-184
352,1069
353,-1985
354,971
355,-1008
356,314
357,-208
358,1301
359,-499
360,-3421
361,1098
362,882
363,673
364,203
365,280
366,713
367,121
368,1119
369,-217
370,435
371,-766
372,821
373,490
374,-487
375,44
376,-1391
377,695
378,959
379,854
380,389
381,-1093
382,335
383,474
384,-1264
385,1144
386,454
387,233
388,181
389,-182
390,-4094
391,309
392,1567
393,-506
394,1247
395,102
396,75
397,30
398,-588
399,1225
400,-186
401,-466
402,-955
403,-1324
404,-413
405,2055
406,781
407,-229
408,-961
409,525
410,177
411,1708
412,-681
413,71
414,-2015
415,490
416,1358
417,-1561
418,-69
419,348
420,-4773
421,2263
422,118
423,1737
424,-1024
425,-281
426,990
427,-1248
428,1424
429,-919
430,1473
431,508
432,-48
433,1036
434,-1160
435,557
436,-1697
437,1640
438,-956
439,1080
440,1805
441,-1643
442,466
443,473
444,-1288
445,1101
446,476
447,267
448,764
449,-822
450,-6019
451,1843
452,101
453,1060
454,208
455,105
456,-393
457,828
458,678
459,375
460,-257
461,-1202
462,770
463,-989
464,668
465,1022
466,1320
467,1565
468,-409
469,3250
470,1112
471,-1397
472,132
473,1814
474,-648
475,115
476,2135
477,-1365
478,462
479,1245
480,-4707
481,2093
482,-16
483,1094
484,-93
485,749
486,1930
487,37
488,-237
489,-730
490,-133
491,-1405
492,111
493,1097
494,-1296
495,1109
496,-667
497,-127
498,-1392
499,1334
500,-929
501,932
502,-424
503,11
504,511
505,-1017
506,-227
507,1541
508,1353
509,-1184
510,-2468
511,1949
512,1363
513,-2166
514,-419
515,-330
516,43
517,1625
518,-2199
519,1354
520,611
521,-283
522,1208
523,-10
524,-225
525,1330
526,-825
527,-160
528,-387
529,-728
530,402
531,1197
532,-70
533,-745
534,1131
535,-2368
536,240
537,-131
538,-615
539,-810
540,320
541,1251
542,1822
543,-1575
544,-193
545,-395
546,2170
547,-654
548,-511
549,-1574
550,4
551,713
552,303
553,100
554,1671
555,-201
556,-86
557,-2260
558,-77
559,-310
560,-736
561,284
562,-630
563,-971
564,-151
565,-2016
566,-606
567,4659
568,-1530
569,-1258
570,-2760
571,1297
572,-239
573,2242
574,-2573
575,1744
576,-324
577,-365
578,1913
579,-1281
580,145
581,-268
582,-571
583,110
584,242
585,-405
586,-73
587,182
588,-674
589,577
590,645
591,1271
592,486
593,-61
594,-906
595,771
596,-807
597,-267
598,-1704
599,839
600,-2806
601,2069
602,1484
603,-150
604,-1100
605,1855
606,-118
607,-31
608,-1013
609,757
610,1293
611,-745
612,72
613,-61
614,-1312
615,703
616,-362
617,1416
618,-961
619,-468
620,-248
621,1473
622,476
623,-1040
624,757
625,-571
626,596
627,-2044
628,1159
629,-1196
630,-5885
631,3618
632,-928
633,510
634,-131
635,766
636,1634
637,618
638,-1085
639,-383
640,1293
641,-1534
642,-914
643,1203
644,-725
645,1049
646,1581
647,-2232
648,-765
649,414
650,-1166
651,-331
652,211
653,1878
654,-52
655,-1821
656,179
657,-406
658,347
659,1997
660,-5087
661,293
662,2287
663,-471
664,434
665,-516
666,1531
667,-1258
668,400
669,-7
670,-772
671,789
672,-718
673,-2366
674,122
675,-72
676,328
677,-632
678,-1083
679,2457
680,-1449
681,271
682,802
683,673
684,123
685,-471
686,1115
687,-510
688,160
689,-724
690,-2504
691,781
692,922
693,1302
694,-715
695,1986
696,650
697,1459
698,-1014
699,-805
700,1269
701,-1288
702,-880
703,656
704,233
705,422
706,-1421
707,844
708,27
709,119
710,-913
711,-770
712,-334
713,730
714,-777
715,936
716,-333
717,170
718,1033
719,-1044
720,-2642
721,66
722,957
723,-1312
724,-440
725,1987
726,217
727,1417
728,-2112
729,665
730,-378
731,-1602
732,1587
733,2514
734,-1788
735,1064
736,-1164
737,-68
738,-1598
739,-204
740,493
741,-46
742,843
743,66
744,-8
745,185
746,-850
747,-556
748,-238
749,12
750,-2748
751,2185
752,713
753,-24
754,1200
755,279
756,-2096
757,-932
758,737
759,1743
760,-858
761,-91
762,894
763,-307
764,256
765,-164
766,-643
767,1040
768,-1428
769,-1069
770,342
771,-74
772,622
773,-1208
774,250
775,674
776,-541
777,1599
778,731
779,-1217
780,-2457
781,2648
782,1342
783,-608
784,-868
785,83
786,355
787,-821
788,1074
789,-637
790,-334
791,266
792,-139
793,128
794,-244
795,2006
796,838
797,385
798,-1467
799,80
800,428
801,-724
802,483
803,-518
804,-480
805,-770
806,365
807,618
808,-398
809,1400
810,-3727
811,2344
812,1296
813,1212
814,-847
815,-2247
816,423
817,-909
818,820
819,1094
820,-1801
821,-275
822,1727
823,1221
824,670
825,-1997
826,1669
827,-1388
828,450
829,-295
830,987
831,-402
832,1069
833,-1198
834,950
835,-616
836,-292
837,-681
838,-2694
839,-11
840,-2927
841,4165
842,507
843,-167
844,1457
845,1440
846,1796
847,-823
848,-2092
849,-319
850,689
851,-192
852,-1222
853,-830
854,-486
855,759
856,1274
857,117
858,-670
859,1138
860,932
861,118
862,819
863,-709
864,1594
865,-2106
866,-874
867,491
868,58
869,27
870,-5169
871,1185
872,1747
873,502
874,290
875,-452
876,376
877,2215
878,-177
879,348
880,-635
881,452
882,-1371
883,-1282
884,812
885,-151
886,589
887,-252
888,1918
889,248
890,-2117
891,546
892,977
893,1562
894,-1098
895,-455
896,68
897,-1989
898,1556
899,-3510
900,1141
901,1507
902,-439
903,1077
904,-1401
905,197
906,792
907,445
908,-506
909,1517
910,646
911,76
912,-1647
913,1090
914,-109
915,-659
916,415
917,1506
918,-1024
919,-336
920,-1291
921,992
922,986
923,-1358
924,-367
925,400
926,2813
927,-601
928,-656
929,374
930,-2972
931,1544
932,-878
933,795
934,-218
935,-879
936,150
937,1908
938,-2101
939,1547
940,-676
941,303
942,1643
943,328
944,-823
945,-532
946,500
947,-956
948,799
949,-714
950,-363
951,356
952,815
953,-681
954,829
955,-749
956,-508
957,301
958,-717
959,1684
960,-3647
961,3047
962,1036
963,-773
964,699
965,-92
966,-318
967,1798
968,-2218
969,-997
970,336
971,-106
972,1232
973,-70
974,-359
975,307
976,363
977,-71
978,-790
979,-1230
980,-718
981,-202
982,435
983,137
984,-987
985,-139
986,1329
987,-875
988,-299
989,1037
990,-2810
991,3069
992,-742
993,1439
994,-866
995,-653
996,832
997,-1477
998,-13
999,-875
1000,-413
1001,1116
1002,1294
1003,-1508
1004,-233
1005,1712
1006,-229
1007,1421
1008,-225
1009,948
1010,1115
1011,661
1012,-1128
1013,-292
1014,-374
1015,-572
1016,-272
1017,-1395
1018,1742
1019,-555
1020,-5905
1021,3796
1022,1803
1023,1740
1024,-1273
1025,96
1026,763
1027,-117
1028,-1564
1029,334
1030,-534
1031,-1284
1032,2342
1033,36
1034,-1346
1035,-2688
1036,2414
1037,1494
1038,11
1039,-1117
1040,548
1041,229
1042,7
1043,-247
1044,1717
1045,-2370
1046,393
1047,777
1048,-1861
1049,1227
1050,-6036
1051,1972
1052,-199
1053,1222
1054,464
1055,1726
1056,-2210
1057,1248
1058,538
1059,234
1060,1670
1061,-774
1062,-341
1063,-1306
1064,-28
1065,-53
1066,-906
1067,1086
1068,-43
1069,5
1070,-149
1071,1591
1072,243
1073,40
1074,-238
1075,1395
1076,-2821
1077,652
1078,473
1079,-49
1080,-1153
1081,-683
1082,574
1083,1148
1084,-930
1085,-123
1086,-19
1087,1814
1088,635
1089,376
1090,713
1091,-820
1092,1917
1093,-1164
1094,-1891
1095,2374
1096,-2115
1097,62
1098,1518
1099,-1087
1100,-1357
1101,2153
1102,375
1103,-1660
1104,398
1105,-87
1106,1310
1107,-162
1108,370
1109,157
1110,-4342
1111,2122
1112,-910
1113,554
1114,-1495
1115,-460
1116,1608
1117,-589
1118,541
1119,-410
1120,1707
1121,-1143
1122,-440
1123,2352
1124,-742
1125,-248
1126,1965
1127,53
1128,508
1129,-825
1130,-2825
1131,-193
1132,107
1133,2
1134,-248
1135,160
1136,-948
1137,2647
1138,-1245
1139,735
1140,-5336
1141,3753
1142,983
1143,898
1144,-2395
1145,658
1146,533
1147,1169
1148,-2191
1149,-1169
1150,-256
1151,2326
1152,369
1153,-437
1154,-588
1155,169
1156,-531
1157,1846
1158,2079
1159,-1844
1160,938
1161,-987
1162,-564
1163,264
1164,-714
1165,584
1166,604
1167,-1374
1168,417
1169,748
1170,-3284
1171,2314
1172,279
1173,-1231
1174,3188
1175,1291
1176,234
1177,-1787
1178,479
1179,-897
1180,-1027
1181,-790
1182,855
1183,2180
1184,-2688
1185,226
1186,-1464
1187,2209
1188,1852
1189,-650
1190,-512
1191,-410
1192,-1016
1193,1461
1194,482
1195,1026
1196,-181
1197,-1002
1198,-1006
1199,343
1200,-4634
1201,2483
1202,1988
1203,-1252
1204,1327
1205,-234
1206,1527
1207,553
1208,-1134
1209,778
1210,-1336
1211,-1897
1212,819
1213,-81
1214,-244
1215,176
1216,-388
1217,240
1218,722
1219,8
1220,109
1221,-2026
1222,1979
1223,2149
1224,107
1225,489
1226,-2046
1227,-1048
1228,-433
1229,-357
1230,-4253
1231,2026
1232,1207
1233,-490
1234,292
1235,-88
1236,0
1237,1520
1238,250
1239,-340
1240,380
1241,65
1242,1045
1243,-2712
1244,-592
1245,1717
1246,-1346
1247,-196
1248,329
1249,-677
1250,2091
1251,-1351
1252,-1206
1253,790
1254,833
1255,-215
1256,570
1257,-196
1258,927
1259,-2022
1260,-4435
1261,1770
1262,1049
1263,-422
1264,577
1265,1204
1266,-2945
1267,2841
1268,242
1269,3681
1270,66
1271,-1865
1272,1076
1273,-1663
1274,-716
1275,343
1276,-2438
1277,446
1278,-286
1279,-194
1280,716
1281,-1850
1282,-1362
1283,1899
1284,369
1285,1295
1286,-958
1287,1439
1288,1111
1289,-1196
1290,-2096
1291,1185
1292,-1434
1293,-667
1294,-259
1295,333
1296,-1021
1297,-422
1298,-128
1299,530
1300,417
1301,1370
1302,560
1303,-550
1304,705
1305,637
1306,-527
1307,748
1308,-791
1309,-1494
1310,-604
1311,1412
1312,-701
1313,429
1314,833
1315,-1630
1316,2223
1317,3192
1318,410
1319,-992
1320,-4025
1321,2876
1322,664
1323,-1971
1324,639
1325,-739
1326,-977
1327,762
1328,92
1329,-838
1330,-1362
1331,1078
1332,805
1333,611
1334,-230
1335,-62
1336,169
1337,2121
1338,1091
1339,-1143
1340,-121
1341,56
1342,-1109
1343,1159
1344,517
1345,-1605
1346,1374
1347,-1780
1348,112
1349,1727
1350,-4572
1351,2014
1352,2426
1353,768
1354,-300
1355,113
1356,1502
1357,-719
1358,-21
1359,48
1360,-334
1361,1357
1362,2986
1363,-655
1364,-993
1365,98
1366,-1451
1367,195
1368,-74
1369,2358
1370,-515
1371,883
1372,-148
1373,149
1374,-627
1375,-1249
1376,758
1377,-382
1378,-1166
1379,996
1380,-3186
1381,578
1382,1699
1383,-243
1384,999
1385,568
1386,1746
1387,-75
1388,668
1389,-348
1390,-1481
1391,1509
1392,-724
1393,294
1394,-290
1395,-664
1396,310
1397,49
1398,-1978
1399,1974
1400,69
1401,431
1402,615
1403,515
1404,1302
1405,902
1406,-143
1407,1087
1408,1197
1409,-1226
1410,-4924
1411,407
1412,2850
1413,-727
1414,-579
1415,1331
1416,-1887
1417,1441
1418,1093
1419,-500
1420,156
1421,599
1422,167
1423,-519
1424,-126
1425,-1303
1426,-684
1427,479
1428,-1189
1429,-223
1430,534
1431,1014
1432,12
1433,-803
1434,234
1435,674
1436,-824
1437,2600
1438,-302
1439,-482
1440,-4826
1441,97
1442,665
1443,1377
1444,-823
1445,-221
1446,208
1447,-415
1448,1575
1449,-609
1450,1193
1451,-181
1452,3419
1453,-137
1454,-1836
1455,578
1456,-1335
1457,743
1458,-928
1459,-1223
1460,-1010
1461,-963
1462,767
1463,742
1464,-22
1465,1193
1466,-319
1467,-2132
1468,2040
1469,60
1470,-2802
1471,1520
1472,525
1473,1194
1474,-1583
1475,-315
1476,-689
1477,-1431
1478,1999
1479,-360
1480,-285
1481,-828
1482,1961
1483,-89
1484,-113
1485,-503
1486,2008
1487,853
1488,759
1489,82
1490,-381
1491,-2099
1492,-306
1493,-444
1494,-1464
1495,673
1496,2412
1497,-227
1498,-414
1499,-979
1500,-526
1501,952
1502,1448
1503,258
1504,512
1505,449
1506,-1660
1507,-586
1508,638
1509,1702
1510,-1862
1511,321
1512,-133
1513,1847
1514,-716
1515,-1348
1516,840
1517,602
1518,1240
1519,604
1520,-482
1521,73
1522,-653
1523,-712
1524,1283
1525,517
1526,-1052
1527,943
1528,-722
1529,117
1530,-4663
1531,3839
1532,-801
1533,666
1534,1113
1535,1007
1536,-801
1537,123
1538,25
1539,-1417
1540,-719
1541,1589
1542,239
1543,2469
1544,726
1545,-743
1546,-199
1547,-992
1548,-1549
1549,-643
1550,103
1551,570
1552,-582
1553,1669
1554,157
1555,-744
1556,-468
1557,650
1558,-1966
1559,16
1560,-3402
1561,2574
1562,1857
1563,-136
1564,774
1565,-430
1566,-108
1567,198
1568,758
1569,75
1570,-648
1571,-25
1572,-922
1573,-1363
1574,18
1575,-263
1576,381
1577,426
1578,140
1579,-433
1580,667
1581,-167
1582,618
1583,190
1584,1827
1585,560
1586,-145
1587,365
1588,-1281
1589,-1003
1590,-2679
1591,2448
1592,152
1593,-1727
1594,2493
1595,-1635
1596,851
1597,451
1598,-6
1599,-632
1600,988
1601,1309
1602,-919
1603,708
1604,-865
1605,-847
1606,465
1607,-420
1608,119
1609,-1625
1610,2749
1611,-1562
1612,-2323
1613,2529
1614,-94
1615,636
1616,1170
1617,-543
1618,155
1619,227
1620,-2105
1621,417
1622,-1662
1623,990
1624,-640
1625,3614
1626,-1298
1627,-1674
1628,1834
1629,-743
1630,-557
1631,877
1632,-143
1633,542
1634,1015
1635,-755
1636,790
1637,2587
1638,-384
1639,-765
1640,-2005
1641,-91
1642,1420
1643,-1635
1644,1267
1645,-1076
1646,-175
1647,1691
1648,-857
1649,1630
1650,-6947
1651,2944
1652,2244
1653,380
1654,994
1655,-2160
1656,-321
1657,-945
1658,-307
1659,1693
1660,-850
1661,888
1662,-535
1663,492
1664,2642
1665,-662
1666,-937
1667,1035
1668,-105
1669,-535
1670,-164
1671,-565
1672,-380
1673,831
1674,380
1675,587
1676,-808
1677,723
1678,-2183
1679,1476
1680,-2727
1681,129
1682,2570
1683,2099
1684,-772
1685,2876
1686,-1874
1687,-221
1688,-878
1689,-1594
1690,325
1691,1124
1692,-59
1693,670
1694,-2138
1695,1482
1696,-917
1697,12
1698,-215
1699,385
1700,458
1701,-1477
1702,1210
1703,-15
1704,1165
1705,-2548
1706,471
1707,-1542
1708,552
1709,-3347
1710,185
1711,3510
1712,486
1713,398
1714,-979
1715,-132
1716,212
1717,1362
1718,-860
1719,916
1720,-837
1721,-1058
1722,-1794
1723,682
1724,-687
1725,1346
1726,-499
1727,-1460
1728,-117
1729,1729
1730,481
1731,751
1732,366
1733,-727
1734,1231
1735,-484
1736,-671
1737,-1763
1738,-2459
1739,151
1740,-3872
1741,3404
1742,940
1743,-1161
1744,210
1745,1270
1746,20
1747,514
1748,519
1749,-312
1750,-14
1751,328
1752,55
1753,-1492
1754,-449
1755,-881
1756,1217
1757,-92
1758,475
1759,-70
1760,132
1761,-772
1762,3018
1763,-2275
1764,-321
1765,802
1766,1394
1767,269
1768,-164
1769,2037
1770,-5121
1771,-413
1772,1819
1773,1731
1774,-1119
1775,1295
1776,-1045
1777,418
1778,329
1779,-355
1780,637
1781,282
1782,103
1783,528
1784,-274
1785,927
1786,656
1787,-148
1788,-1004
1789,-2478
1790,2921
1791,-1373
1792,132
1793,1069
1794,481
1795,-683
1796,-1169
1797,1281
1798,-382
1799,688
1800,-3129
1801,3456
1802,-480
1803,386
1804,212
1805,1219
1806,-2159
1807,-416
1808,-1353
1809,1765
1810,300
1811,1191
1812,142
1813,-684
1814,-1419
1815,597
1816,510
1817,116
1818,-472
1819,861
1820,44
1821,-235
1822,1134
1823,1503
1824,-1757
1825,-500
1826,2581
1827,607
1828,1647
1829,-296
1830,-5804
1831,4929
1832,-61
1833,39
1834,-1545
1835,1472
1836,-849
1837,-1843
1838,2183
1839,943
1840,-770
1841,620
1842,-1032
1843,1622
1844,-6
1845,844
1846,2498
1847,-2625
1848,-397
1849,122
1850,43
1851,-262
1852,665
1853,-381
1854,-468
1855,-1318
1856,694
1857,-407
1858,-612
1859,763
1860,-5974
1861,2852
1862,1974
1863,-915
1864,1955
1865,918
1866,785
1867,-2478
1868,-1268
1869,-2137
1870,1954
1871,-27
1872,1365
1873,-1089
1874,-532
1875,689
1876,540
1877,-573
1878,1247
1879,183
1880,1851
1881,-727
1882,-220
1883,-564
1884,529
1885,867
1886,-797
1887,-1559
1888,-310
1889,531
